country,year,immigration_rate
georgia,2012,-305269
georgia,2017,-50000
ghana,1962,0
ghana,1967,-361999
ghana,1972,-164002
ghana,1977,-563999
ghana,1982,206001
ghana,1987,-30003
ghana,1992,-16285
ghana,1997,-112636
ghana,2002,165518
ghana,2007,189259
ghana,2012,-49999
ghana,2017,-100000
"gambia,_the",1962,-3232
"gambia,_the",1967,118
"gambia,_the",1972,9392
"gambia,_the",1977,-3380
"gambia,_the",1982,19475
"gambia,_the",1987,48392
"gambia,_the",1992,-14801
"gambia,_the",1997,-26418
"gambia,_the",2002,-13742
"gambia,_the",2007,-13742
"gambia,_the",2012,-13476
"gambia,_the",2017,-13000
guinea-bissau,1962,-20001
guinea-bissau,1967,-7230
guinea-bissau,1972,-14999
guinea-bissau,1977,-79367
guinea-bissau,1982,-30001
guinea-bissau,1987,-28004
guinea-bissau,1992,-29999
guinea-bissau,1997,-58803
guinea-bissau,2002,-39899
guinea-bissau,2007,-25002
guinea-bissau,2012,-10003
guinea-bissau,2017,-9995
equatorial_guinea,1962,2999
equatorial_guinea,1967,5001
equatorial_guinea,1972,-70000
equatorial_guinea,1977,-29997
equatorial_guinea,1982,65001
equatorial_guinea,1987,20000
equatorial_guinea,1992,20004
equatorial_guinea,1997,35002
equatorial_guinea,2002,50003
equatorial_guinea,2007,80003
equatorial_guinea,2012,90001
equatorial_guinea,2017,79999
greece,1962,-257899
greece,1967,-187126
greece,1972,20771
greece,1977,309665
greece,1982,100241
greece,1987,178887
greece,1992,464636
greece,1997,297431
greece,2002,113586
greece,2007,80157
greece,2012,-161799
greece,2017,49996
grenada,1962,-8968
grenada,1967,-9319
grenada,1972,-11426
grenada,1977,-12867
grenada,1982,-288
grenada,1987,-15001
grenada,1992,-3923
grenada,1997,-4912
grenada,2002,-4132
grenada,2007,-4274
grenada,2012,-4274
grenada,2017,-3497
guatemala,1962,-10311
guatemala,1967,-41269
guatemala,1972,-137529
guatemala,1977,-258519
guatemala,1982,-283074
guatemala,1987,-299909
guatemala,1992,-367469
guatemala,1997,-402326
guatemala,2002,-281050
guatemala,2007,-114231
guatemala,2012,-50131
guatemala,2017,-46073
guyana,1962,-14669
guyana,1967,-42559
guyana,1972,-54362
guyana,1977,-52341
guyana,1982,-97340
guyana,1987,-102648
guyana,1992,-57867
guyana,1997,-80312
guyana,2002,-64249
guyana,2007,-55476
guyana,2012,-27278
guyana,2017,-24552
"hong_kong_sar,_china",1962,-27385
"hong_kong_sar,_china",1967,71590
"hong_kong_sar,_china",1972,73970
"hong_kong_sar,_china",1977,406637
"hong_kong_sar,_china",1982,160605
"hong_kong_sar,_china",1987,221262
"hong_kong_sar,_china",1992,156486
"hong_kong_sar,_china",1997,375683
"hong_kong_sar,_china",2002,64797
"hong_kong_sar,_china",2007,89747
"hong_kong_sar,_china",2012,74892
"hong_kong_sar,_china",2017,146542
honduras,1962,-29002
honduras,1967,-41000
honduras,1972,-45999
honduras,1977,-50999
honduras,1982,-61998
honduras,1987,-73998
honduras,1992,-77999
honduras,1997,-64998
honduras,2002,-41999
honduras,2007,-24000
honduras,2012,-15001
honduras,2017,-14001
croatia,1962,1854
croatia,1967,-1225
